group   element   type  description
0x2010  0x0050    'CS'  "Film Size ID"
0x2010  0x0060    'CS'  "Magnification Type"
0x2010  0x0080    'CS'  "Smoothing Type"
0x2010  0x0100    'CS'  "Border Density"
0x2010  0x0110    'CS'  "Empty Image Density"
0x2010  0x0120    'US'  "Min Density"
0x2010  0x0130    'US'  "Max Density"
0x2010  0x0140    'CS'  "Trim"
0x2010  0x0150    'ST'  "Configuration Information"
0x2010  0x0500    'SQ'  "Referenced Film Session Sequence"
0x2010  0x0510    'SQ'  "Referenced Basic Image Box Sequence"
0x2010  0x0520    'SQ'  "Referenced Basic Annotation Box Sequence"
0x2020  0x0000    'UL'  "Group 2020 Length"
0x2020  0x0010    'US'  "Image Position"
0x2020  0x0020    'CS'  "Polarity"
0x2020  0x0030    'DS'  "Requested Image Size"
0x2020  0x0110    'SQ'  "Preformatted Greyscale Image Sequence"
0x2020  0x0111    'SQ'  "Preformatted Color Image Sequence"
0x2020  0x0130    'SQ'  "Referenced Image Overlay Box Sequence"
0x2020  0x0140    'SQ'  "Referenced VOI LUT Sequence"
0x2030  0x0000    'UL'  "Group 2030 Length"
0x2030  0x0010    'US'  "Annotation Position"
0x2030  0x0020    'LO'  "Text String"
0x2040  0x0000    'UL'  "Group 2040 Length"
0x2040  0x0010    'SQ'  "Referenced Overlay Plane Sequence"
0x2040  0x0011    'US'  "Refenced Overlay Plane Groups"
0x2040  0x0060    'CS'  "Overlay Magnification Type"
0x2040  0x0070    'CS'  "Overlay Smoothing Type"
0x2040  0x0080    'CS'  "Overlay Foreground Density"
0x2040  0x0090    'CS'  "overlay Mode"
0x2040  0x0100    'CS'  "Threshold Density"
0x2040  0x0500    'SQ'  "Referenced Image Box Sequence"
0x2100  0x0000    'UL'  "Group 2100 Length"
0x2100  0x0020    'CS'  "Execution Status"
0x2100  0x0030    'CS'  "Execution Status Info"
0x2100  0x0040    'DA'  "Creation Date"
0x2100  0x0050    'TM'  "Creation Time"
0x2100  0x0070    'AE'  "Originator"
0x2100  0x0500    'SQ'  "Referenced Print Job Sequence"
0x2110  0x0000    'UL'  "Group 2110 Length"
0x2110  0x0010    'CS'  "Printer Status"
0x2110  0x0020    'CS'  "Printer Status Info"
0x2110  0x0030    'ST'  "Printer Name"
0x4000  0x0000    'UL'  "Group 4000 Length (RET)"
0x4000  0x0010    'SH'  "Arbitray (RET)"
0x4000  0x4000    'LT'  "Group 4000 Comments (RET)"
0x4008  0x0000    'UL'  "Group 4008 Length"
0x4008  0x0040    'SH'  "Results ID"
0x4008  0x0042    'LO'  "Results ID Issuer"
0x4008  0x0050    'SQ'  "Referenced Interpretation Sequence"
0x4008  0x0100    'DA'  "Interpretation Recorded Date"
0x4008  0x0101    'TM'  "Interpretation Recorded Time"
0x4008  0x0102    'PN'  "Interpretation Recorder"
0x4008  0x0103    'LO'  "Reference to Recorded Sound"
0x4008  0x0108    'DA'  "Interpretation Transcription Time"
0x4008  0x0109    'TM'  "Interpretation Transcription Time"
0x4008  0x010A    'PN'  "Interpretation Transcriber"
0x4008  0x010B    'ST'  "Interpretation Text"
0x4008  0x010C    'PN'  "Interpretation Author"
0x4008  0x0111    'SQ'  "Interpretation Approver Sequence"
0x4008  0x0112    'DA'  "Interpretation Approval Date"
0x4008  0x0113    'TM'  "Interpretation Approval Time"
0x4008  0x0114    'PN'  "Physician Approving Interpretation"
0x4008  0x0115    'LT'  "Interpretation Diagnosis Description"
0x4008  0x0117    'SQ'  "Diagnosis Code Sequence"
0x4008  0x0118    'SQ'  "Results Distribution List Sequence"
0x4008  0x0119    'PN'  "Distribution Name"
0x4008  0x011A    'LO'  "Distribution Address"
0x4008  0x0200    'SH'  "Interpretation ID"
0x4008  0x0202    'LO'  "Interpretation ID Issuer"
0x4008  0x0210    'CS'  "Interpretation Type ID"
0x4008  0x0212    'CS'  "Interpretation Status ID"
0x4008  0x0300    'ST'  "Impression"
0x4008  0x4000    'SH'  "Group 4008 Comments"
0x5000  0x0000    'UL'  "Group 5000 Length"
0x5000  0x0005    'US'  "Curve Dimensions"
0x5000  0x0010    'US'  "Number of Points"
0x5000  0x0020    'CS'  "Type of Data"
0x5000  0x0022    'LO'  "Curve Description"
0x5000  0x0030    'SH'  "Axis Units"
0x5000  0x0040    'SH'  "Axis Labels"
0x5000  0x0103    'US'  "Data Value Representation"
0x5000  0x0104    'US'  "Minimum Coordinate Value"
0x5000  0x0105    'US'  "Maximum Coordinate Value"
0x5000  0x0106    'SH'  "Curve Range"
0x5000  0x0110    'US'  "Curve Data Descriptor"
0x5000  0x0112    'US'  "Coordinate Start Value"
0x5000  0x0114    'US'  "Coordinate Step Value"
0x5000  0x2000    'US'  "Audio Type"
0x5000  0x2002    'US'  "Audio Sample Format"
0x5000  0x2004    'US'  "Number of Channels"
0x5000  0x2006    'UL'  "Number of Samples"
0x5000  0x2008    'UL'  "Sample Rate"
0x5000  0x200A    'UL'  "Total Time"
0x5000  0x200C    'OX'  "Audio Sample Data"
0x5000  0x200E    'LT'  "Audio Comments"
0x5000  0x3000    'OX'  "Curve Data"
0x6000  0x0000    'UL'  "Group 6000 Length"
0x6000  0x0010    'US'  "Rows"
0x6000  0x0011    'US'  "Columns"
0x6000  0x0015    'IS'  "Number of Frames in Overlay"
0x6000  0x0040    'CS'  "Overlay Type"
0x6000  0x0050    'SS'  "Origin"
0x6000  0x0060    'SH'  "Compression Code (RET)"
0x6000  0x0100    'US'  "Bits Allocated"
0x6000  0x0102    'US'  "Bit Position"
0x6000  0x0110    'SH'  "Overlay Format (RET)"
0x6000  0x0200    'US'  "Overlay Location (RET)"
0x6000  0x1100    'US'  "Overlay Descriptor - Gray"
0x6000  0x1101    'US'  "Overlay Descriptor - Red"
0x6000  0x1102    'US'  "Overlay Descriptor - Green"
0x6000  0x1103    'US'  "Overlay Descriptor - Blue"
0x6000  0x1200    'US'  "Overlays - Gray"
0x6000  0x1201    'US'  "Overlays - Red"
0x6000  0x1202    'US'  "Overlays - Green"
0x6000  0x1203    'US'  "Overlays - Blue"
0x6000  0x1301    'IS'  "ROI Area"
0x6000  0x1302    'DS'  "ROI Mean"
0x6000  0x1303    'DS'  "ROI Standard Deviation"
0x6000  0x3000    'OW'  "Overlay Data"
0x6000  0x4000    'SH'  "Group 6000 Comments (RET)"
0x7FE0  0x0000    'UL'  "Group 7FE0 Length"
0x7FE0  0x0010    'OX'  "Pixel Data"
0xFFFE  0xE000    'DL'  "Item"
0xFFFE  0xE00D    'DL'  "Item Delimitation Item"
0xFFFE  0xE0DD    'DL'  "Sequence Delimitation Item"
0x0019  0x000C    'IS'  "Siemens Diffusion b-value"
0x0019  0x000E    'FD'  "Siemens Diffusion Gradient Direction"
0x0019  0x10BB    'DS'  "GE Diffusion Gradient X Component"
0x0019  0x10BC    'DS'  "GE Diffusion Gradient Y Component"
0x0019  0x10BD    'DS'  "GE Diffusion Gradient Z Component"
0x0019  0x10DF    'DS'  "GE Number of T2 Volumes"
0x0019  0x10E0    'DS'  "GE Number of DW Volumes"
0x0043  0x1039    'IS'  "GE Diffusion b-value"
0x0043  0x1079    'US'  "GE Slices per Volume"
